,genre
654,indie_alt
655,blues
656,hiphop
657,jazz
658,jazz
659,party
660,jazz
661,funk
662,funk
663,metal
664,classical
665,classical
666,classical
667,jazz
668,classical
669,party
670,classical
671,jazz
672,funk
673,jazz
674,classical
675,jazz
676,latin
677,classical
678,jazz
679,classical
680,classical
681,latin
682,jazz
683,jazz
684,indie_alt
685,classical
686,romance
687,classical
688,latin
689,indie_alt
690,party
691,funk
692,classical
693,jazz
694,classical
695,latin
696,metal
697,funk
698,jazz
699,funk
700,funk
701,indie_alt
702,classical
703,metal
704,funk
705,metal
706,hiphop
707,funk
708,classical
709,metal
710,latin
711,jazz
712,jazz
713,reggae
714,jazz
715,latin
716,funk
717,latin
718,party
719,metal
720,hiphop
721,classical
722,jazz
723,latin
724,hiphop
725,latin
726,metal
727,reggae
728,hiphop
729,latin
730,classical
731,jazz
732,classical
733,jazz
734,funk
735,classical
736,classical
737,pop
738,latin
739,funk
740,classical
741,reggae
742,indie_alt
743,classical
744,funk
745,jazz
746,jazz
747,latin
748,classical
749,metal
750,jazz
751,metal
752,jazz
753,jazz
754,latin
755,classical
756,rock
757,metal
758,metal
759,latin
760,metal
761,jazz
762,latin
763,classical
764,latin
765,jazz
766,latin
767,jazz
768,funk
769,jazz
770,classical
771,jazz
772,jazz
773,classical
774,rock
775,latin
776,metal
777,jazz
778,classical
779,jazz
780,classical
781,classical
782,jazz
783,jazz
784,classical
785,classical
786,jazz
787,reggae
788,metal
789,romance
790,classical
791,funk
792,funk
793,classical
794,jazz
795,jazz
796,jazz
797,jazz
798,jazz
799,blues
800,jazz
801,classical
802,jazz
803,latin
804,funk
805,jazz
806,funk
807,metal
808,classical
809,metal
810,metal
811,jazz
812,latin
813,rock
814,jazz
815,classical
816,classical
817,funk
818,funk
819,metal
820,indie_alt
821,classical
822,jazz
823,latin
824,latin
825,romance
826,classical
827,classical
828,latin
829,classical
830,classical
831,latin
832,metal
833,blues
834,classical
835,classical
836,classical
837,hiphop
838,classical
839,metal
840,classical
841,blues
842,classical
843,classical
844,classical
845,blues
846,latin
847,classical
848,funk
849,latin
850,jazz
851,funk
852,jazz
853,jazz
854,indie_alt
855,latin
856,classical
857,classical
858,jazz
859,latin
860,jazz
861,latin
862,pop
863,metal
864,classical
865,latin
866,hiphop
867,reggae
868,classical
869,latin
870,metal
871,jazz
872,latin
873,metal
874,funk
875,jazz
876,latin
877,classical
878,latin
879,classical
880,hiphop
881,rock
882,classical
883,jazz
884,jazz
885,metal
886,jazz
887,jazz
888,classical
889,classical
890,classical
891,classical
892,pop
893,reggae
894,latin
895,metal
896,pop
897,jazz
898,jazz
899,classical
900,funk
901,classical
902,jazz
903,classical
904,classical
905,latin
906,funk
907,classical
908,metal
909,metal
910,funk
911,classical
912,hiphop
913,classical
914,classical
915,pop
916,classical
917,pop
918,indie_alt
919,metal
920,classical
921,classical
922,blues
923,classical
924,classical
925,hiphop
926,funk
927,jazz
928,hiphop
929,jazz
930,funk
931,classical
932,metal
933,rock
934,latin
935,classical
936,jazz
937,romance
938,jazz
939,classical
940,classical
941,jazz
942,hiphop
943,classical
944,classical
945,rock
946,classical
947,classical
948,funk
949,jazz
950,jazz
951,funk
952,jazz
953,indie_alt
954,jazz
955,romance
956,jazz
957,reggae
958,classical
959,indie_alt
960,jazz
961,classical
962,jazz
963,funk
964,metal
965,metal
966,jazz
967,rock
968,romance
969,funk
970,metal
971,rock
972,jazz
973,classical
974,jazz
975,latin
976,latin
977,funk
978,metal
979,classical
980,metal
981,classical
982,classical
983,metal
984,classical
985,classical
986,classical
987,classical
988,jazz
989,latin
990,country
991,funk
992,latin
993,romance
994,classical
995,metal
996,jazz
997,classical
998,jazz
999,latin
1000,funk
1001,latin
1002,rock
1003,hiphop
1004,latin
1005,jazz
1006,metal
1007,funk
1008,jazz
1009,jazz
1010,latin
1011,latin
1012,pop
1013,jazz
1014,classical
1015,metal
1016,classical
1017,classical
1018,jazz
1019,romance
1020,party
1021,funk
1022,jazz
1023,hiphop
1024,classical
1025,classical
1026,classical
1027,jazz
1028,funk
1029,metal
1030,jazz
1031,classical
1032,funk
1033,jazz
1034,jazz
1035,classical
1036,classical
1037,funk
1038,classical
1039,classical
1040,classical
1041,blues
1042,metal
1043,jazz
1044,metal
1045,classical
1046,classical
1047,classical
1048,metal
1049,classical
1050,jazz
1051,jazz
1052,latin
1053,rock
1054,latin
1055,classical
1056,romance
1057,classical
1058,classical
1059,classical
1060,jazz
1061,funk
1062,classical
1063,classical
1064,latin
1065,hiphop
1066,party
1067,indie_alt
1068,classical
1069,jazz
1070,funk
1071,classical
1072,metal
1073,classical
1074,metal
1075,classical
1076,latin
1077,metal
1078,latin
1079,latin
1080,jazz
1081,indie_alt
1082,jazz
1083,latin
1084,jazz
1085,classical
1086,metal
1087,latin
1088,rock
1089,metal
1090,classical
1091,jazz
1092,jazz
1093,classical
1094,classical
1095,latin
1096,classical
1097,classical
1098,classical
1099,classical
1100,classical
1101,classical
1102,classical
1103,latin
1104,classical
1105,jazz
1106,rock
1107,hiphop
1108,classical
1109,latin
1110,funk
1111,blues
1112,latin
1113,latin
1114,funk
1115,funk
1116,classical
1117,classical
1118,classical
1119,blues
1120,hiphop
1121,classical
1122,latin
1123,classical
1124,classical
1125,jazz
1126,blues
1127,classical
1128,metal
1129,latin
1130,metal
1131,jazz
1132,reggae
1133,blues
1134,romance
1135,classical
1136,metal
1137,jazz
1138,jazz
1139,funk
1140,classical
1141,romance
1142,jazz
1143,funk
1144,jazz
1145,classical
1146,romance
1147,metal
1148,pop
1149,metal
1150,classical
1151,classical
1152,classical
1153,blues
1154,latin
1155,hiphop
1156,classical
1157,jazz
1158,jazz
1159,funk
1160,latin
1161,classical
1162,funk
1163,hiphop
1164,latin
1165,jazz
1166,funk
1167,funk
1168,funk
1169,classical
1170,classical
1171,jazz
1172,funk
1173,jazz
1174,jazz
1175,classical
1176,blues
1177,classical
1178,funk
1179,jazz
1180,classical
1181,latin
1182,jazz
1183,funk
1184,funk
1185,jazz
1186,romance
1187,hiphop
1188,funk
1189,classical
1190,classical
1191,rock
1192,latin
1193,indie_alt
1194,classical
1195,latin
1196,jazz
1197,hiphop
1198,jazz
1199,classical
1200,jazz
1201,classical
1202,jazz
1203,metal
1204,jazz
1205,jazz
1206,indie_alt
1207,latin
1208,classical
1209,classical
1210,funk
1211,classical
1212,metal
1213,jazz
1214,romance
1215,latin
1216,classical
1217,classical
1218,pop
1219,latin
1220,romance
1221,jazz
1222,classical
1223,classical
1224,jazz
1225,classical
1226,blues
1227,latin
1228,latin
1229,latin
1230,classical
1231,funk
1232,romance
1233,blues
1234,metal
1235,metal
1236,metal
1237,jazz
1238,pop
1239,funk
1240,classical
1241,metal
1242,classical
1243,reggae
1244,classical
1245,jazz
1246,jazz
1247,jazz
1248,metal
1249,jazz
1250,jazz
1251,jazz
1252,latin
1253,hiphop
1254,metal
1255,reggae
1256,classical
1257,classical
1258,jazz
1259,party
1260,metal
1261,funk
1262,classical
1263,metal
1264,jazz
1265,jazz
1266,classical
1267,classical
1268,latin
1269,jazz
1270,classical
1271,jazz
1272,jazz
1273,jazz
1274,metal
1275,latin
1276,jazz
1277,latin
1278,latin
1279,jazz
1280,metal
1281,funk
1282,classical
1283,pop
1284,metal
1285,jazz
1286,latin
1287,latin
1288,funk
1289,punk
1290,hiphop
1291,classical
1292,classical
1293,jazz
1294,latin
1295,latin
1296,rock
1297,latin
1298,hiphop
1299,party
1300,pop
1301,romance
1302,classical
1303,hiphop
1304,jazz
1305,classical
1306,latin
1307,funk
1308,classical
1309,jazz
1310,funk
1311,metal
1312,classical
1313,classical
1314,romance
1315,jazz
1316,classical
1317,metal
1318,metal
1319,classical
1320,jazz
1321,party
1322,latin
1323,latin
1324,rock
1325,latin
1326,classical
1327,pop
1328,metal
1329,latin
1330,hiphop
1331,classical
1332,classical
1333,classical
1334,classical
1335,jazz
1336,jazz
1337,classical
1338,classical
1339,classical
1340,jazz
1341,party
1342,party
1343,classical
1344,hiphop
1345,pop
1346,jazz
1347,romance
1348,metal
1349,classical
1350,funk
1351,hiphop
1352,metal
1353,latin
1354,metal
1355,rock
1356,classical
1357,jazz
1358,latin
1359,jazz
1360,funk
1361,classical
1362,jazz
1363,country
1364,metal
1365,funk
1366,latin
1367,classical
1368,jazz
1369,romance
1370,classical
1371,romance
1372,classical
1373,latin
1374,jazz
1375,funk
1376,metal
1377,classical
1378,classical
1379,metal
1380,classical
1381,jazz
1382,jazz
1383,rock
1384,blues
1385,indie_alt
1386,latin
1387,classical
1388,jazz
1389,hiphop
1390,indie_alt
1391,classical
1392,jazz
1393,party
1394,latin
1395,jazz
1396,party
1397,latin
1398,classical
1399,romance
1400,classical
1401,classical
1402,latin
1403,classical
1404,metal
1405,classical
1406,funk
1407,jazz
1408,jazz
1409,classical
1410,jazz
1411,jazz
1412,classical
1413,classical
1414,classical
1415,funk
1416,classical
1417,jazz
1418,classical
1419,classical
1420,classical
1421,latin
1422,classical
1423,jazz
1424,classical
1425,jazz
1426,latin
1427,metal
1428,classical
1429,hiphop
1430,metal
1431,latin
1432,jazz
1433,latin
1434,jazz
1435,classical
1436,latin
1437,funk
1438,funk
1439,classical
1440,metal
1441,classical
1442,jazz
1443,metal
1444,metal
1445,classical
1446,blues
1447,funk
1448,latin
1449,funk
1450,funk
1451,funk
1452,jazz
1453,reggae
1454,classical
1455,latin
1456,metal
1457,latin
1458,classical
1459,hiphop
1460,classical
1461,classical
1462,jazz
1463,latin
1464,classical
1465,jazz
1466,funk
1467,latin
1468,classical
1469,funk
1470,latin
1471,jazz
1472,latin
1473,classical
1474,blues
1475,jazz
1476,latin
1477,latin
1478,metal
1479,jazz
1480,latin
1481,funk
1482,jazz
1483,funk
1484,classical
1485,hiphop
1486,metal
1487,jazz
1488,classical
1489,rock
1490,classical
1491,classical
1492,indie_alt
1493,classical
1494,indie_alt
1495,country
1496,jazz
1497,jazz
1498,classical
1499,funk
1500,classical
1501,classical
1502,blues
1503,classical
1504,blues
1505,classical
1506,classical
1507,jazz
1508,jazz
1509,metal
1510,metal
1511,classical
1512,indie_alt
1513,hiphop
1514,funk
1515,jazz
1516,blues
1517,jazz
1518,latin
1519,classical
1520,rock
1521,jazz
1522,jazz
1523,classical
1524,hiphop
1525,romance
1526,jazz
1527,classical
1528,classical
1529,blues
1530,funk
1531,romance
1532,latin
1533,classical
1534,jazz
1535,classical
1536,classical
1537,classical
1538,classical
1539,classical
1540,funk
1541,classical
1542,funk
1543,jazz
1544,classical
1545,hiphop
1546,funk
1547,metal
1548,jazz
1549,funk
1550,classical
1551,classical
1552,latin
1553,latin
1554,latin
1555,classical
1556,latin
1557,funk
1558,funk
1559,metal
1560,classical
1561,romance
1562,classical
1563,hiphop
1564,classical
1565,classical
1566,latin
1567,latin
1568,classical
1569,metal
1570,party
1571,reggae
1572,latin
1573,metal
1574,metal
1575,jazz
1576,rock
1577,funk
1578,funk
1579,classical
1580,classical
1581,metal
1582,funk
1583,jazz
1584,classical
1585,jazz
1586,jazz
1587,jazz
1588,jazz
1589,jazz
1590,jazz
1591,funk
1592,reggae
1593,jazz
1594,metal
1595,metal
1596,funk
1597,classical
1598,classical
1599,latin
1600,jazz
1601,latin
1602,jazz
1603,pop
1604,classical
1605,jazz
1606,classical
1607,latin
1608,rock
1609,country
1610,latin
1611,classical
1612,jazz
1613,jazz
1614,metal
1615,jazz
1616,metal
1617,classical
1618,classical
1619,classical
1620,classical
1621,classical
1622,reggae
1623,classical
1624,funk
1625,classical
1626,jazz
1627,latin
1628,classical
1629,classical
1630,jazz
1631,classical
1632,rock
1633,classical
1634,indie_alt
1635,rock
1636,metal
1637,party
1638,classical
1639,hiphop
1640,classical
1641,metal
1642,jazz
1643,latin
1644,classical
1645,hiphop
1646,metal
1647,funk
1648,classical
1649,jazz
1650,classical
1651,jazz
1652,classical
1653,classical
1654,funk
1655,funk
1656,metal
1657,party
1658,jazz
1659,latin
1660,classical
1661,latin
1662,metal
1663,classical
1664,classical
1665,hiphop
1666,jazz
1667,jazz
1668,classical
1669,jazz
1670,latin
1671,funk
1672,jazz
1673,classical
1674,jazz
1675,funk
1676,classical
1677,jazz
1678,classical
1679,jazz
1680,jazz
1681,classical
1682,classical
1683,classical
1684,jazz
1685,hiphop
1686,jazz
1687,latin
1688,hiphop
1689,classical
1690,indie_alt
1691,pop
1692,classical
1693,classical
1694,party
1695,blues
1696,classical
1697,latin
1698,jazz
1699,jazz
1700,classical
1701,reggae
1702,classical
1703,classical
1704,classical
1705,latin
1706,jazz
1707,funk
1708,classical
1709,classical
1710,latin
1711,party
1712,jazz
1713,romance
1714,jazz
1715,romance
1716,classical
1717,classical
1718,metal
1719,rock
1720,classical
1721,metal
1722,latin
1723,jazz
1724,classical
1725,jazz
1726,jazz
1727,hiphop
1728,classical
1729,classical
1730,classical
1731,indie_alt
1732,metal
1733,jazz
1734,jazz
1735,metal
1736,jazz
1737,classical
1738,latin
1739,hiphop
1740,jazz
1741,jazz
1742,latin
1743,latin
1744,rock
1745,metal
1746,classical
1747,funk
1748,metal
1749,classical
1750,latin
1751,funk
1752,latin
1753,latin
1754,metal
1755,funk
1756,metal
1757,funk
1758,pop
1759,pop
1760,latin
1761,hiphop
1762,funk
1763,classical
1764,classical
1765,romance
1766,classical
1767,funk
1768,party
1769,metal
1770,reggae
1771,classical
1772,classical
1773,reggae
1774,classical
1775,metal
1776,jazz
1777,jazz
1778,classical
1779,classical
1780,blues
1781,classical
1782,classical
1783,metal
1784,jazz
1785,latin
1786,metal
1787,indie_alt
1788,metal
1789,classical
1790,reggae
1791,latin
1792,jazz
1793,latin
1794,romance
1795,jazz
1796,latin
1797,classical
1798,metal
1799,latin
1800,hiphop
1801,metal
1802,funk
1803,latin
1804,reggae
1805,metal
1806,indie_alt
1807,classical
1808,jazz
1809,funk
1810,classical
1811,latin
1812,classical
1813,classical
1814,classical
1815,funk
1816,metal
1817,classical
1818,romance
1819,funk
1820,jazz
1821,jazz
1822,jazz
1823,hiphop
1824,jazz
1825,reggae
1826,metal
1827,classical
1828,funk
1829,indie_alt
1830,jazz
1831,classical
1832,classical
1833,indie_alt
1834,metal
1835,latin
1836,latin
1837,reggae
1838,pop
1839,hiphop
1840,jazz
1841,classical
1842,metal
1843,classical
1844,classical
1845,funk
1846,latin
1847,jazz
1848,reggae
1849,classical
1850,jazz
1851,hiphop
1852,classical
1853,jazz
1854,classical
1855,latin
1856,classical
1857,funk
1858,latin
1859,romance
1860,indie_alt
1861,classical
1862,jazz
1863,classical
1864,classical
1865,classical
1866,classical
1867,metal
1868,classical
1869,classical
1870,latin
1871,jazz
1872,classical
1873,jazz
1874,reggae
1875,classical
1876,metal
1877,jazz
1878,funk
1879,jazz
1880,jazz
1881,classical
1882,funk
1883,jazz
1884,latin
1885,jazz
1886,funk
1887,romance
1888,classical
1889,classical
1890,latin
1891,hiphop
1892,metal
1893,classical
1894,jazz
1895,jazz
1896,hiphop
1897,latin
1898,party
1899,latin
1900,metal
1901,funk
1902,metal
1903,jazz
1904,classical
1905,metal
1906,funk
1907,classical
1908,classical
1909,latin
1910,latin
1911,reggae
1912,classical
1913,funk
1914,latin
1915,blues
1916,classical
1917,metal
1918,jazz
1919,jazz
1920,latin
1921,latin
1922,metal
1923,jazz
1924,jazz
1925,classical
1926,latin
1927,hiphop
1928,indie_alt
1929,hiphop
1930,classical
1931,funk
1932,metal
1933,classical
1934,jazz
1935,metal
1936,jazz
1937,hiphop
1938,jazz
1939,classical
1940,classical
1941,latin
1942,jazz
1943,classical
1944,classical
1945,jazz
1946,classical
1947,party
1948,metal
1949,jazz
1950,classical
1951,classical
1952,rock
1953,latin
1954,jazz
1955,funk
1956,jazz
1957,latin
1958,jazz
1959,classical
1960,classical
1961,funk
1962,jazz
1963,latin
1964,latin
1965,jazz
1966,metal
1967,jazz
1968,jazz
1969,jazz
1970,classical
1971,blues
1972,metal
1973,funk
1974,blues
1975,party
1976,metal
1977,jazz
1978,jazz
1979,classical
1980,classical
1981,romance
1982,reggae
1983,funk
1984,jazz
1985,funk
1986,jazz
1987,classical
1988,party
1989,romance
1990,classical
1991,classical
1992,jazz
1993,reggae
1994,metal
1995,reggae
1996,metal
1997,latin
1998,classical
1999,rock
2000,latin
2001,jazz
2002,classical
2003,latin
2004,classical
2005,classical
2006,classical
2007,classical
2008,jazz
2009,jazz
2010,metal
2011,funk
2012,funk
2013,funk
2014,metal
2015,latin
2016,jazz
2017,jazz
2018,classical
2019,classical
2020,hiphop
2021,classical
2022,jazz
2023,reggae
2024,funk
2025,classical
2026,classical
2027,latin
2028,hiphop
2029,latin
2030,latin
2031,classical
2032,jazz
2033,classical
2034,party
2035,classical
2036,classical
2037,classical
2038,classical
2039,jazz
2040,metal
2041,classical
2042,classical
2043,funk
2044,jazz
2045,classical
2046,funk
2047,romance
2048,jazz
2049,classical
2050,classical
2051,funk
2052,classical
2053,metal
2054,classical
2055,funk
2056,funk
2057,latin
2058,metal
2059,country
2060,classical
2061,hiphop
2062,metal
2063,funk
2064,blues
2065,classical
2066,jazz
2067,classical
2068,jazz
2069,blues
2070,classical
2071,jazz
2072,jazz
2073,metal
2074,reggae
2075,classical
2076,latin
2077,jazz
2078,funk
2079,funk
2080,classical
2081,party
2082,classical
2083,jazz
2084,funk
2085,classical
2086,latin
2087,metal
2088,blues
2089,jazz
2090,party
2091,jazz
2092,metal
2093,hiphop
2094,classical
2095,classical
2096,blues
2097,metal
2098,jazz
2099,latin
2100,romance
2101,jazz
2102,pop
2103,classical
2104,classical
2105,classical
2106,rock
2107,hiphop
2108,latin
2109,metal
2110,classical
2111,jazz
2112,latin
2113,romance
2114,funk
2115,jazz
2116,rock
2117,classical
2118,romance
2119,classical
2120,metal
2121,classical
2122,rock
2123,hiphop
2124,metal
2125,classical
2126,latin
2127,classical
2128,classical
2129,classical
2130,metal
2131,jazz
2132,metal
2133,classical
2134,jazz
2135,latin
2136,classical
2137,jazz
2138,metal
2139,jazz
2140,classical
2141,funk
2142,classical
2143,classical
2144,classical
2145,classical
2146,reggae
2147,indie_alt
2148,metal
2149,metal
2150,classical
2151,country
2152,funk
2153,classical
2154,jazz
2155,hiphop
2156,classical
2157,metal
2158,hiphop
2159,jazz
2160,romance
2161,jazz
2162,classical
2163,funk
2164,metal
2165,jazz
2166,funk
2167,hiphop
2168,jazz
2169,funk
2170,metal
2171,jazz
2172,classical
2173,jazz
2174,latin
2175,indie_alt
2176,latin
2177,jazz
2178,jazz
2179,metal
2180,classical
2181,party
2182,classical
2183,classical
2184,jazz
2185,jazz
2186,latin
2187,jazz
2188,classical
2189,romance
2190,classical
2191,jazz
2192,funk
2193,classical
2194,classical
2195,jazz
2196,party
2197,jazz
2198,classical
2199,hiphop
2200,jazz
2201,classical
2202,classical
2203,classical
2204,jazz
2205,jazz
2206,classical
2207,jazz
2208,jazz
2209,classical
2210,jazz
2211,latin
2212,classical
2213,jazz
2214,latin
2215,classical
2216,classical
2217,hiphop
2218,funk
2219,latin
2220,classical
2221,classical
2222,metal
2223,jazz
2224,funk
2225,classical
2226,jazz
2227,classical
2228,metal
2229,classical
2230,indie_alt
2231,classical
2232,classical
2233,latin
2234,metal
2235,jazz
2236,classical
2237,jazz
2238,classical
2239,classical
2240,blues
2241,classical
2242,jazz
2243,latin
2244,metal
2245,classical
2246,latin
2247,classical
2248,classical
2249,jazz
2250,classical
2251,classical
2252,classical
2253,jazz
2254,metal
2255,classical
2256,jazz
2257,jazz
2258,funk
2259,latin
2260,classical
2261,classical
2262,party
2263,classical
2264,jazz
2265,reggae
2266,classical
2267,party
2268,indie_alt
2269,blues
2270,hiphop
2271,party
2272,latin
2273,classical
2274,funk
2275,jazz
2276,funk
2277,metal
2278,funk
2279,latin
2280,romance
2281,hiphop
2282,funk
2283,hiphop
2284,hiphop
2285,classical
2286,classical
2287,jazz
2288,metal
2289,jazz
2290,funk
2291,funk
2292,jazz
2293,classical
2294,metal
2295,funk
2296,jazz
2297,latin
2298,latin
2299,jazz
2300,funk
2301,jazz
2302,blues
2303,classical
2304,classical
2305,hiphop
2306,jazz
2307,classical
2308,classical
2309,hiphop
2310,reggae
2311,hiphop
2312,blues
2313,classical
2314,hiphop
2315,reggae
2316,classical
2317,classical
2318,metal
2319,latin
2320,jazz
2321,rock
2322,classical
2323,classical
2324,romance
2325,classical
2326,classical
2327,classical
2328,classical
2329,classical
2330,metal
2331,metal
2332,classical
2333,jazz
2334,funk
2335,metal
2336,funk
2337,latin
2338,jazz
2339,classical
2340,classical
2341,metal
2342,blues
2343,blues
2344,funk
2345,classical
2346,classical
2347,indie_alt
2348,hiphop
2349,classical
2350,jazz
2351,jazz
2352,rock
2353,classical
2354,classical
2355,indie_alt
2356,classical
2357,funk
2358,jazz
2359,metal
2360,classical
