id	index	title	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	genre
45	14706	Give Up The Ghost - Orchestral Variation	0.423	0.486	1	-11.832	1	0.0503	0.972	0.924	0.115	0.216	113.359	classical
46	5608	Work	0.957	0.62	7	-6.261	1	0.265	0.022	0	0.123	0.507	120.006	hiphop
47	14944	Il Genio degli Stati Veneti	0.405	0.0388	0	-22.528	1	0.0599	0.986	0	0.11	0.166	132.74	classical
48	2148	Trouble Adjusting	0.346	0.821	4	-3.376	1	0.0415	0.0105	0	0.104	0.164	118.156	indie_alt
49	3671	We Are Family	0.79	0.86	8	-6.914	1	0.0863	0.279	0.000034	0.229	0.843	118.971	funk
50	13718	King Roger: A/Roxana! jej spiew! (King Roger/Roxana/Edrisi/Chorus)	0.265	0.0593	10	-23.9	0	0.0446	0.945	0.000862	0.118	0.0338	129.388	classical
51	8371	My Requiem	0.166	0.558	4	-8.19	0	0.0296	0.000578	0.818	0.253	0.0736	84.702	metal
52	11532	Legalize It	0.71	0.589	0	-11.933	1	0.167	0.068	0.00000438	0.176	0.639	144.601	reggae
53	4405	While My Guitar Gently Weeps - Remastered	0.453	0.654	4	-8.855	0	0.0317	0.0205	0.00395	0.172	0.694	115	rock
54	2275	Darlin'	0.349	0.337	3	-8.982	1	0.0293	0.164	0.000279	0.12	0.0388	80.285	indie_alt
55	15612	Umbrella	0.583	0.829	1	-4.603	1	0.134	0.00864	0	0.0426	0.59	174.028	party
56	14970	Comin' Home	0.654	0.539	6	-5.828	0	0.0309	0.792	0	0.12	0.389	122.923	party
57	10256	Forever And A Day (feat. Althea Rene)	0.741	0.724	9	-4.674	0	0.0402	0.347	0.0325	0.305	0.604	91.017	jazz
58	6747	One	0.437	0.695	7	-9.447	1	0.0617	0.00111	0.0857	0.124	0.422	102.178	metal
59	19996	How To Love (feat. Sofia Reyes)	0.673	0.894	0	-2.73	1	0.0594	0.148	0.0000034	0.141	0.613	118.894	romance
60	11042	Love Is Here To Stay	0.638	0.134	7	-13.352	0	0.0372	0.883	0.0000611	0.145	0.357	80.874	jazz
61	16090	Escápate Conmigo - Remix	0.799	0.8	1	-4.828	1	0.074	0.0495	0.0000163	0.332	0.413	92.015	latin
62	15984	Me Rehúso	0.746	0.794	1	-6.331	1	0.0698	0.0258	0	0.0497	0.471	104.827	latin
63	8325	Forgive Me Father	0.381	0.988	2	-2.962	0	0.109	0.00000415	0.417	0.201	0.0958	109.955	metal
64	14702	Meditation No 1	0.146	0.0615	2	-23.666	1	0.0351	0.994	0.888	0.08	0.0377	138.922	classical
65	16242	Hasta el Amanecer	0.832	0.608	6	-6.042	0	0.0385	0.282	0	0.0761	0.579	94.013	latin
66	9826	Uptown, Downtown	0.592	0.231	6	-16.446	0	0.0371	0.833	0.911	0.0992	0.366	62.693	jazz
67	4208	Hangman	0.504	0.633	7	-6.804	0	0.036	0.008	0.0000161	0.32	0.185	155.005	rock
68	15919	Don't Wait	0.663	0.936	4	-0.584	0	0.167	0.0987	0.0005	0.555	0.347	126.064	party
69	3455	Ug Ug Ah	0.61	0.605	0	-7.249	1	0.181	0.388	0.686	0.101	0.907	184.288	funk
70	5293	Chantal	0.373	0.898	2	-4.95	1	0.0685	0.0923	0.000401	0.223	0.427	113.707	rock
71	15352	Cheerleader - Felix Jaehn Remix Radio Edit	0.827	0.576	4	-7.774	1	0.0372	0.184	0.029	0.0656	0.385	118.04	party
72	18193	Levanto Mis Manos	0.575	0.631	2	-6.981	1	0.0407	0.719	0.0000035	0.407	0.325	126.201	latin
73	6022	Toss It Up	0.766	0.796	1	-4.377	0	0.266	0.0675	0	0.113	0.567	92.053	hiphop
74	5222	The Dead Are Dumb	0.489	0.519	7	-5.828	1	0.0311	0.0484	0.539	0.111	0.139	129.886	rock
75	9477	It Won't Matter Anyway	0.628	0.836	8	-6.202	1	0.0352	0.0103	0.00000298	0.0772	0.513	120.02	country
76	415	Stay	0.37	0.318	11	-6.524	0	0.0339	0.766	0	0.307	0.468	173.521	pop
77	1178	Sex on Fire	0.542	0.905	9	-5.653	1	0.054	0.00172	0.0104	0.136	0.365	153.398	indie_alt
78	7059	Through Glass	0.545	0.753	3	-4.618	0	0.036	0.0417	0	0.389	0.404	105.754	metal
79	9603	Singles You Up	0.489	0.9	7	-3.563	1	0.0488	0.0441	0	0.247	0.593	200.054	country
80	9909	Mama Earth	0.538	0.855	10	-5.537	0	0.142	0.0326	0.0000116	0.325	0.639	128.133	jazz
81	15745	Bailame Despacio	0.688	0.719	2	-4.746	1	0.0555	0.163	0	0.15	0.589	88.015	party
82	13477	Gayane: Gayane's Adagio	0.205	0.062	5	-24.265	0	0.0506	0.979	0.809	0.123	0.0373	118.193	classical
83	8964	The Long Way	0.488	0.637	10	-7.63	1	0.0401	0.265	0	0.106	0.21	88.872	country
84	10053	Don't Think Twice, It's Alright	0.678	0.445	8	-10.71	0	0.0472	0.904	0.00163	0.103	0.804	95.911	jazz
85	15210	Would You Ever	0.653	0.91	10	-3.36	1	0.0566	0.0079	0	0.318	0.0861	126.047	party
86	18738	Ain't No Mountain High Enough	0.669	0.616	11	-10.776	0	0.033	0.482	0	0.179	0.803	130.037	romance
87	11251	As Time Goes By	0.389	0.0471	3	-21.994	1	0.0446	0.992	0.953	0.124	0.113	109.486	jazz
88	12432	50 Folk-Tunes from Hardanger, Op. 150: Mountain Call	0.325	0.0105	0	-31.534	1	0.0971	0.989	0.555	0.149	0.0372	66.428	classical
89	13649	Zapateo	0.285	0.14	9	-26.053	1	0.0435	0.986	0.896	0.128	0.293	153.694	classical
90	6508	ATLiens	0.918	0.734	11	-2.832	0	0.269	0.0294	0.0000079	0.191	0.599	97.044	hiphop
91	7563	I Saw the End	0.261	0.877	9	-8.055	0	0.077	0.000512	0.008	0.199	0.315	113.97	metal
92	19310	Make It Last Forever (with Jacci McGhee)	0.497	0.614	4	-8.758	0	0.0738	0.029	0	0.59	0.501	168.245	romance
93	12958	"Violin Sonata in D Minor, Op. 27, No. 3, ""Ballade"""	0.287	0.158	9	-16.748	0	0.0635	0.989	0.516	0.142	0.133	85.658	classical
94	5649	Sky Walker	0.629	0.717	6	-5.706	1	0.0638	0.0876	0	0.358	0.129	145.959	hiphop
95	11713	Love Like This	0.928	0.571	5	-7.848	0	0.0479	0.31	0.00189	0.0599	0.938	137.219	reggae
96	12075	Peer Gynt-Suite Nr. 1, Op. 46: IV. In the Hall of the Mountain King	0.434	0.142	7	-19.997	1	0.0364	0.946	0.939	0.102	0.51	89.569	classical
97	10286	All Jazzed Up (And Nowhere To Go)	0.653	0.579	5	-7.841	1	0.174	0.298	0.707	0.126	0.492	176.32	jazz
98	7950	Consciousness Deprived	0.493	0.993	1	-3.977	1	0.157	0.000152	0.893	0.396	0.15	130.003	metal
99	9196	Make You Miss Me	0.612	0.468	7	-6.597	1	0.0314	0.168	0	0.112	0.167	146.026	country
100	6748	All We Are	0.495	0.835	10	-13.211	1	0.0523	0.00353	0	0.24	0.144	131.346	metal
101	7875	Dead End	0.254	0.983	1	-3.262	1	0.112	0.000136	0.0225	0.347	0.106	178.037	metal
102	1416	So Good at Being in Trouble	0.829	0.435	0	-10.136	1	0.0515	0.0363	0.878	0.119	0.596	103.816	indie_alt
103	1133	Hang Your Heart	0.643	0.687	10	-8.224	1	0.048	0.0328	0.0145	0.095	0.165	125.995	indie_alt
104	9998	Over The Rainbow - Digitally Remastered	0.371	0.0823	3	-20.45	1	0.0352	0.963	0.49	0.0838	0.0793	106.146	jazz
105	17154	Mil Horas	0.697	0.386	7	-11.746	0	0.0798	0.306	0	0.0682	0.563	99.796	latin
106	5312	The Midnight Son	0.514	0.744	1	-4.276	1	0.0456	0.00402	0.00000549	0.1	0.123	119.899	rock
107	4468	Dreams	0.823	0.338	0	-15.899	1	0.0413	0.139	0.00129	0.5	0.778	120.473	rock
108	1625	I Will Not Return as a Tourist	0.499	0.756	9	-7.666	1	0.044	0.00351	0.000989	0.103	0.0865	119.96	indie_alt
109	15876	King	0.559	0.848	4	-4.125	0	0.0388	0.0665	0	0.382	0.48	119.977	party
110	20142	Love No Less Worthy	0.579	0.0311	10	-18.908	1	0.0381	0.925	0.00335	0.108	0.36	136.308	romance
111	16545	Slide	0.736	0.795	1	-3.299	0	0.0545	0.498	0.00000121	0.254	0.508	104.066	latin
112	5853	Do That Shit	0.872	0.584	1	-6.515	1	0.233	0.015	0.00000177	0.0886	0.519	142.027	hiphop
113	15391	Don't Mess With My Man - Version 1 Main (Clean)	0.879	0.73	11	-4.369	0	0.164	0.114	0	0.241	0.887	99.925	party
114	3304	Mystical Remedies	0.688	0.502	7	-17.894	1	0.0492	0.106	0.69	0.0639	0.708	107.659	funk
115	12613	Fragile	0.468	0.00964	2	-28.836	0	0.0587	0.971	0.957	0.097	0.212	131.292	classical
116	8229	Again And Again	0.265	0.906	2	-5.783	1	0.0679	0.000413	0.000152	0.0885	0.203	93.744	metal
117	18386	Amores Pasajeros	0.811	0.689	10	-4.947	1	0.0526	0.369	0	0.0878	0.843	91.979	latin
118	15878	In The Morning	0.907	0.839	10	-5.33	1	0.0394	0.243	0.448	0.0903	0.793	119.999	party
119	6209	Andere Liga	0.444	0.765	1	-5.704	0	0.17	0.201	0.0000149	0.097	0.156	96.882	hiphop
120	9641	Anyhow	0.456	0.686	9	-9.215	1	0.032	0.131	0.408	0.0925	0.515	93.546	country
121	16220	Que Tengo Que Hacer	0.764	0.53	9	-5.808	0	0.0403	0.409	0.0000349	0.131	0.367	118.052	latin
122	12181	Symphony No. 4 in A Minor, Op. 63: III. Il tempo largo	0.106	0.0071	9	-30.418	1	0.051	0.934	0.639	0.0625	0.0296	91.853	classical
123	19427	Les Baricades Mistérieuses (6e ordre)	0.191	0.0946	10	-25.59	1	0.0365	0.99	0.933	0.101	0.352	110.502	romance
124	9901	You and the Night and the Music	0.521	0.347	5	-14.275	1	0.0321	0.944	0.828	0.0825	0.398	97.04	jazz
125	18879	Lonelily	0.298	0.503	0	-8.555	1	0.0437	0.348	0.000063	0.118	0.545	78.951	romance
126	16181	Internacionales	0.714	0.959	1	-1.503	0	0.0486	0.062	0.000045	0.0353	0.65	102.037	latin
127	425	Symphony - Acoustic	0.359	0.208	7	-10.567	1	0.036	0.943	0	0.0931	0.104	83.155	pop
128	7476	The Carnage	0.414	0.944	11	-5.716	0	0.0557	0.00000687	0.694	0.155	0.286	160.056	metal
129	4340	Hallelujah	0.339	0.143	0	-10.78	1	0.0317	0.921	0.000636	0.372	0.0911	101.213	rock
130	9653	Stone	0.438	0.477	0	-7.649	1	0.031	0.243	0.0000078	0.183	0.176	137.645	country
131	12421	Piano Sonata No.5 in F sharp major, Op.53: Allegro - Presto con allegrezza Meno vivo - Prestissimo	0.303	0.131	3	-18.632	1	0.0417	0.993	0.884	0.212	0.037	76.209	classical
132	18733	Dulce Vino	0.375	0.598	1	-6.874	0	0.351	0.117	0	0.17	0.629	174.993	romance
133	6900	One Step Closer	0.492	0.969	9	-4.419	1	0.0491	0.0014	0.00000132	0.0787	0.534	95.136	metal
134	486	Everything Has Changed	0.629	0.465	6	-6.656	1	0.0289	0.35	0.00000316	0.334	0.433	80.042	pop
135	3852	Funky'n the Jazz	0.669	0.752	1	-5.487	1	0.0488	0.0453	0.069	0.133	0.536	116.815	funk
136	16654	La Vida Es Un Carnaval	0.816	0.751	0	-4.951	0	0.0617	0.453	0.00115	0.302	0.828	104.009	latin
137	1318	Disparate Youth	0.642	0.931	1	-4.142	1	0.0417	0.0131	0.825	0.215	0.537	152.005	indie_alt
138	20076	"Tera Hone Laga Hoon (From ""Ajab Prem Ki Ghazab Kahani"")"	0.685	0.773	8	-5.331	1	0.0308	0.548	0	0.195	0.543	119.987	romance
139	17965	Que Beleza	0.512	0.539	5	-7.537	0	0.0402	0.35	0.354	0.0763	0.927	159.811	latin
140	16252	Ginza	0.736	0.806	10	-6.484	0	0.0855	0.198	0.00133	0.0792	0.834	101.998	latin
141	9395	Waters	0.576	0.264	5	-10.217	1	0.0316	0.741	0	0.11	0.279	119.863	country
142	1579	Bloodshot Eyes	0.397	0.944	11	-6.654	0	0.111	0.00164	0.0000163	0.224	0.211	161.943	indie_alt
143	11442	Could You Be Loved	0.913	0.724	0	-8.527	1	0.105	0.372	0.000201	0.0824	0.745	103.33	reggae
144	15502	Notorious B.I.G. (feat. Lil' Kim & Puff Daddy)	0.904	0.826	1	-2.372	0	0.272	0.0531	0	0.214	0.814	101.35	party
145	6238	Me and You	0.888	0.628	10	-9.298	0	0.0643	0.232	0.00000851	0.0819	0.533	107.958	hiphop
146	5387	Oh Yeah	0.4	0.736	7	-11.428	1	0.0428	0.035	0.196	0.0857	0.198	99.267	rock
147	18501	Got 'Til It's Gone - Feat. Q-Tip and Joni Mitchell	0.789	0.413	7	-7.518	1	0.244	0.0223	0.000313	0.3	0.526	89.911	latin
148	11987	Silent Music: I. Waltz of the Moment	0.0622	0.0283	9	-29.604	0	0.0593	0.977	0.642	0.187	0.0315	42.892	classical
149	5708	Birmingham (Anthem)	0.516	0.728	0	-5.606	1	0.344	0.124	0.0000642	0.338	0.781	58.127	hiphop
150	1993	Play	0.383	0.982	0	-3.259	1	0.138	0.000169	0.000457	0.363	0.188	161.042	indie_alt
151	18951	One4Me	0.535	0.503	5	-7.22	0	0.0338	0.0588	0.0000171	0.102	0.253	59.017	romance
152	19000	The Wall	0.772	0.521	1	-8.321	1	0.0494	0.0463	0	0.108	0.496	147.951	romance
153	17452	La Cumparsita	0.57	0.301	7	-13.846	1	0.0518	0.908	0.574	0.123	0.446	118.337	latin
154	15069	All Stars	0.777	0.712	1	-3.469	1	0.0451	0.148	0.000559	0.0599	0.616	124.033	party
155	19126	The Body (feat. Jeremih)	0.493	0.542	9	-8.016	1	0.076	0.0774	0	0.239	0.165	109.399	romance
156	15703	Happy Feelin's	0.578	0.414	2	-14.1	1	0.0425	0.223	0.00000105	0.0953	0.862	73.204	party
157	122	Jocelyn Flores	0.872	0.391	0	-9.144	0	0.242	0.469	0.00000413	0.297	0.437	134.021	pop
158	2615	Lilies	0.395	0.183	1	-16.009	1	0.0315	0.932	0.162	0.0957	0.0487	103.837	indie_alt
159	19926	The Worst	0.524	0.417	1	-9.283	0	0.0579	0.237	0.00000119	0.139	0.114	93.59	romance
160	9906	Baciare	0.732	0.645	0	-9.332	1	0.06	0.474	0.357	0.154	0.454	112.093	jazz
161	6850	Ísafold	0.397	0.811	0	-5.94	0	0.0319	0.0689	0.17	0.113	0.465	122.676	metal
162	956	Half-Light (feat. Kelly Zutrau)	0.313	0.478	2	-8.497	1	0.0384	0.822	0.00000833	0.144	0.427	71.074	indie_alt
163	20440	Sweet Love and Evil Women	0.597	0.715	7	-13.671	1	0.0482	0.446	0.454	0.424	0.751	106.983	blues
164	19333	Ordinary Love	0.739	0.706	9	-6.534	1	0.152	0.219	0	0.132	0.584	144.112	romance
165	6510	Insane in the Brain	0.897	0.612	11	-10.489	1	0.211	0.0297	0.186	0.0894	0.769	102.305	hiphop
166	17543	Hermosa Ingrata	0.735	0.764	9	-6.27	0	0.044	0.21	0.000809	0.0847	0.962	94.024	latin
167	5894	Get Your Shit Together	0.706	0.321	8	-11.811	0	0.299	0.86	0	0.143	0.552	103.974	hiphop
168	1273	Sly (feat. Winston Surfshirt)	0.73	0.753	5	-7.782	0	0.0424	0.136	0.00249	0.137	0.608	100.017	indie_alt
169	6104	Motivation	0.721	0.668	9	-5.561	0	0.0505	0.176	0.000104	0.0732	0.268	140.919	hiphop
170	1695	Come for Me	0.62	0.809	4	-7.024	1	0.0249	0.258	0.0505	0.116	0.832	110.018	indie_alt
171	19908	Last Request	0.605	0.704	5	-6.564	1	0.0476	0.241	0	0.137	0.405	80.925	romance
172	10537	Tea for Two	0.297	0.264	8	-17.96	1	0.0373	0.957	0.931	0.123	0.263	170.968	jazz
173	10394	The Feeling Of Jazz	0.504	0.258	10	-13.465	0	0.0354	0.832	0.0000569	0.0826	0.475	102.78	jazz
174	10719	Miles Runs the Voodoo Down	0.534	0.524	10	-9.931	1	0.0332	0.249	0.418	0.096	0.581	118.84	jazz
175	15966	Never Let Me Go	0.668	0.774	0	-5.377	1	0.038	0.383	0.00000582	0.0863	0.489	123.992	party
176	15547	All or Nothing - Deluxe Mix	0.737	0.816	4	-9.22	0	0.0411	0.226	0.453	0.621	0.53	124.014	party
177	2980	Under Pressure	0.528	0.897	2	-5.943	1	0.0589	0.00134	0	0.19	0.288	125.009	punk
178	8289	Head Leaving	0.647	0.129	0	-24.978	0	0.906	0.931	0	0.387	0.524	94.08	metal
179	15413	Creep - Radio Edit - Original Version	0.814	0.503	5	-7.794	0	0.0406	0.0236	0.00000142	0.0705	0.764	92.976	party
180	6084	Gangsta	0.439	0.447	10	-8.318	0	0.0436	0.111	0	0.303	0.111	121.48	hiphop
181	7532	Moria	0.493	0.963	8	-5.421	1	0.177	0.000554	0.0000365	0.091	0.198	75.02	metal
182	16353	Báilame - Remix	0.652	0.862	6	-4.234	1	0.102	0.238	0.00000293	0.0718	0.711	191.885	latin
183	1211	Always Like This	0.659	0.591	1	-6.713	1	0.0313	0.441	0.000861	0.0862	0.714	121.14	indie_alt
184	8344	Wrath of Vishnu	0.239	0.935	2	-7.776	1	0.0995	0.00000186	0.869	0.25	0.146	126.61	metal
185	5617	Selfish	0.535	0.561	2	-8.781	1	0.0462	0.112	0.000869	0.232	0.084	140.112	hiphop
186	9399	The Time I've Wasted	0.473	0.25	5	-11.263	1	0.0304	0.796	0.0000883	0.101	0.271	145.027	country
187	12835	The Lark Ascending	0.0811	0.0122	4	-32.654	0	0.0511	0.902	0.308	0.0648	0.0383	74.554	classical
188	6568	pull up, skrt	0.638	0.579	9	-10.053	0	0.153	0.505	0.887	0.108	0.188	84.988	hiphop
189	1093	Paresthesia	0.601	0.873	11	-5.393	0	0.064	0.142	0.288	0.0983	0.79	177.011	indie_alt
190	3126	Hot Damn!	0.669	0.825	5	-8.351	0	0.0432	0.0584	0.0000681	0.0341	0.857	105.888	funk
191	11340	Seasons - Mastiksoul Island Mix	0.48	0.829	3	-3.131	1	0.0615	0.102	0	0.13	0.775	97.043	reggae
192	13738	War and Peace, Op. 91: Voyna i mir (War and Peace), Op. 91: Scene 1: Svetlaje vesenneje nebo	0.201	0.194	1	-17.975	1	0.0475	0.949	0.00611	0.0929	0.0735	168.757	classical
193	15024	Mi Gente	0.535	0.678	11	-4.906	0	0.0998	0.0164	0.0000131	0.128	0.279	102.681	party
194	1536	You	0.707	0.774	7	-5.577	1	0.066	0.0575	0.00719	0.174	0.694	110.008	indie_alt
195	5205	Re-arrange	0.634	0.746	4	-8.574	1	0.0352	0.0601	0.0000151	0.103	0.509	134.048	rock
196	1414	Let It Happen	0.601	0.873	1	-5.866	0	0.0448	0.00488	0.0365	0.113	0.566	124.997	indie_alt
197	4351	The Day I Tried To Live	0.472	0.756	0	-6.075	1	0.0582	0.000174	0.213	0.132	0.289	133.287	rock
198	2620	Nothing Else	0.712	0.307	1	-13.844	0	0.0384	0.889	0.0162	0.103	0.373	123.971	indie_alt
199	2642	Rabble Rouser - Edit	0.641	0.88	9	-7.27	1	0.0699	0.0137	0.00122	0.502	0.434	134.922	indie_alt
200	12991	Music in Similar Motion	0.448	0.626	7	-11.192	0	0.0636	0.971	0.846	0.0911	0.825	167.323	classical
201	14780	7 South American Dances: No. 7. Gato y Malambo [Argentina]	0.408	0.111	2	-23.171	1	0.0601	0.957	0.83	0.13	0.37	104.087	classical
202	2670	You're Gonna Go Far, Kid	0.55	0.918	9	-3.159	0	0.0682	0.00466	0	0.206	0.555	126.083	punk
203	14759	Stosspeng	0.114	0.00319	5	-36.298	1	0.0645	0.989	0.853	0.106	0.0205	69.904	classical
204	15623	Don't Stop The Music	0.853	0.676	6	-5.533	0	0.0715	0.0446	0.0000337	0.0514	0.558	122.65	party
205	11460	Buffalo Soldier	0.932	0.462	9	-8.664	1	0.284	0.137	0.00000791	0.0654	0.751	124.122	reggae
206	7046	Nookie	0.548	0.926	11	-5.967	1	0.0907	0.00237	0.163	0.712	0.307	97.55	metal
207	13732	"Elektra, Op.58: ""Allein! Weh, ganz allein."""	0.23	0.235	5	-16.011	0	0.0574	0.949	0.000854	0.508	0.0463	80.18	classical
208	14719	Concerto-Cantata, Op. 65: IV. Arioso e corale: Lento - Tranquillo cantabile - Dolce	0.0578	0.000493	7	-39.994	0	0.0586	0.682	0.926	0.0902	0.0296	62.011	classical
209	15723	Viento	0.659	0.971	3	-3.818	0	0.0527	0.0037	0.0129	0.0926	0.343	126.014	party
210	4646	High Enough	0.273	0.537	2	-9.612	1	0.0306	0.0241	0	0.0922	0.24	81.814	rock
211	18488	Amame o Matame (feat. Don Omar)	0.755	0.771	1	-6.482	1	0.0461	0.0725	0.000143	0.252	0.733	87.995	latin
212	13712	"Betrothal in a Monastery, Op. 86, Act I, Tableau 1, Scene 8: ""Друзья, уходите"""	0.182	0.0232	5	-33.688	1	0.0355	0.863	0.125	0.0923	0.0633	139.557	classical
213	5428	It's My Life	0.606	0.75	8	-4.535	0	0.0306	0.00264	0.000788	0.321	0.79	126.316	rock
214	15446	U Know What's Up	0.822	0.482	10	-6.472	0	0.0542	0.0615	0.00136	0.0612	0.868	103.018	party
215	14111	Per quella strada lactea del cielo	0.257	0.0525	2	-20.529	1	0.0421	0.993	0.0000386	0.0858	0.191	135.792	classical
216	5761	Jumping Ship	0.81	0.873	1	-3.967	1	0.303	0.0111	0	0.751	0.344	87.994	hiphop
217	1771	Raising the Dead	0.469	0.454	4	-7.155	1	0.041	0.604	0	0.0941	0.265	107.379	indie_alt
218	19260	Say You Love Me	0.387	0.413	7	-8.95	1	0.0559	0.162	0.0000156	0.262	0.258	173.73	romance
219	17620	Burberry	0.76	0.834	1	-6.065	1	0.228	0.0581	0	0.108	0.432	135.84	latin
220	15463	Put Your Hands Where My Eyes Could See	0.769	0.64	1	-6.182	0	0.329	0.00838	0.00000554	0.0724	0.674	99.351	party
