title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Night Time,0.849,0.781,0,-9.329,Minor,0.0803,0.0946,0.057,0.0681,0.816,115.009,funk
Letter from Earth - Remastered Version,0.424,0.854,8,-6.941,Major,0.0457,0.0341,0.0000259,0.0481,0.465,121.655,metal
These Girls,0.687,0.809,0,-4.092,Minor,0.0537,0.0685,0,0.156,0.519,129.97,party
Georgia On My Mind,0.368,0.0275,11,-21.248,Minor,0.0412,0.991,0.944,0.111,0.0735,79.523,jazz
I Am What I Am,0.644,0.619,5,-14.015,Minor,0.0376,0.0663,0.000494,0.107,0.695,119.616,funk
Lithium,0.582,0.854,7,-7.597,Major,0.0539,0.0789,0,0.0945,0.323,122.227,rock
The Roman Call,0.834,0.5,9,-9.233,Major,0.0491,0.327,0.553,0.0684,0.179,123.97,indie_alt
Live and Breathe,0.349,0.983,7,-3.134,Major,0.166,0.000224,0.00013,0.308,0.156,113.75,metal
Lo Digo,0.677,0.937,6,-4.176,Minor,0.0555,0.0402,0.00000427,0.121,0.521,104.958,latin
A Whiter Shade of Pale,0.521,0.583,0,-8.451,Major,0.0274,0.399,0.00174,0.347,0.349,146.009,classical
"Timbres, espace, mouvement ""La nuit etoilée"": I. Nébuleuse (Live)",0.189,0.203,10,-21.555,Minor,0.0504,0.96,0.85,0.286,0.0331,114.476,classical
Back to You (feat. Bebe Rexha & Digital Farm Animals),0.683,0.53,5,-4.918,Minor,0.142,0.207,0,0.394,0.632,75.016,party
Meridian,0.517,0.66,5,-6.175,Minor,0.0315,0.000034,0.252,0.571,0.075,90.007,indie_alt
Madness,0.465,0.874,4,-5.058,Minor,0.0523,0.0000583,0,0.16,0.36,85.947,metal
The Black Pearl - Body Bangers Edit,0.731,0.963,7,-2.532,Major,0.0512,0.104,0.89,0.138,0.466,128.014,latin
Long Cool Woman (In A Black Dress) - 2003 Remastered Version,0.755,0.869,9,-9.271,Major,0.0572,0.383,0.00162,0.351,0.786,138.896,rock
Komarov's Fall,0.204,0.26,9,-18.206,Minor,0.0816,0.899,0.607,0.142,0.0334,98.704,classical
My Church (Live from SXSW 2016),0.576,0.683,2,-5.107,Major,0.0784,0.0574,0,0.784,0.383,76.971,country
Mirage,0.485,0.915,9,-7.009,Minor,0.104,0.0009,0.153,0.0882,0.126,119.841,metal
"Symphony No. 6 in B Minor, Op. 74, TH 30 ""Pathétique"": IV. Finale: Adagio lamentoso",0.0651,0.0391,11,-20.793,Minor,0.0416,0.91,0.911,0.327,0.0369,74.891,classical
Diddy Bop (feat. Cam O'bi & Raury),0.637,0.503,1,-6.927,Major,0.336,0.713,0.000113,0.109,0.658,81.061,hiphop
"Six Pieces For Orchestra, Op.6 - Original Version (1909): 1. Etwas bewegt",0.176,0.0104,4,-31.499,Major,0.0389,0.869,0.0305,0.0702,0.0456,83.8,classical
Mistakes,0.678,0.607,0,-7.19,Major,0.075,0.174,0,0.0788,0.445,91.973,romance
Top to Toe,0.569,0.184,1,-12.842,Major,0.0584,0.908,0,0.114,0.302,110.916,romance
Concierto de Aranjuez: Adagio,0.257,0.0851,5,-22.028,Major,0.0399,0.935,0.582,0.349,0.0394,107.62,jazz
"Rigoletto, Act III: La donna è mobile (Duca/Sparafucile/Rigoletto)",0.369,0.0963,11,-13.806,Major,0.0384,0.984,0.0000381,0.0825,0.219,111.005,classical
Amour m'a le cuer mis en tel martire (ballade),0.13,0.0409,10,-23.351,Minor,0.0472,0.99,0.622,0.0938,0.11,79.625,classical
Corcovado - Quiet Nights Of Quiet Stars,0.524,0.108,0,-18.361,Major,0.0493,0.957,0.00123,0.139,0.324,127.982,latin
The Sin of Sodom (Re-Recorded),0.314,0.986,10,-5.361,Minor,0.131,0.0119,0.00529,0.36,0.0438,110.192,metal
Breakfast At Tiffany's,0.628,0.829,2,-5.484,Major,0.0293,0.12,0,0.097,0.49,110.377,rock
Symphony No. 3: Passacaglia - Allegro moderato,0.121,0.0109,7,-17.81,Major,0.0438,0.957,0.75,0.11,0.0378,69.39,classical
Estrellita,0.37,0.00831,2,-33.506,Major,0.0394,0.989,0.904,0.128,0.282,97.019,classical
Reyja,0.0935,0.0896,1,-25.083,Minor,0.0412,0.798,0.882,0.128,0.0327,87.688,classical
Bounce Back,0.77,0.567,2,-5.698,Major,0.175,0.105,0,0.125,0.256,81.477,hiphop
Slide,0.736,0.795,1,-3.299,Minor,0.0545,0.498,0.00000121,0.254,0.508,104.066,party
The Finest,0.853,0.76,6,-5.646,Major,0.0832,0.474,0.00113,0.108,0.9,109.998,funk
Jungle (Radio Edit),0.541,0.718,1,-5.544,Minor,0.0295,0.178,0,0.0956,0.539,146.037,rock
Bouncer - Original Mix,0.479,0.898,6,-4.077,Minor,0.0431,0.0000487,0.144,0.0673,0.313,128.088,party
Imitadora,0.729,0.721,8,-5.962,Minor,0.0397,0.315,0,0.306,0.565,125.962,latin
Pay the Band,0.692,0.791,9,-4.895,Major,0.0494,0.155,0.00000146,0.239,0.424,118.14,blues
It's Raining Men,0.692,0.856,1,-7.786,Major,0.0696,0.0468,0.507,0.252,0.578,136.913,funk
Glow Like Dat,0.787,0.586,10,-9.64,Major,0.0695,0.411,0.000311,0.118,0.604,140.036,party
Fever,0.742,0.0899,9,-19.187,Minor,0.158,0.0906,0,0.113,0.365,137.473,jazz
Don't Take Your Love from Me,0.379,0.142,8,-11.13,Major,0.0359,0.894,0.000202,0.14,0.18,179.277,romance
Borro Cassette,0.726,0.662,5,-6.243,Minor,0.153,0.178,0,0.105,0.726,175.946,reggae
Csárdás,0.281,0.178,2,-20.557,Minor,0.0594,0.903,0.0249,0.141,0.307,181.245,classical
Ravel : Bolero,0.354,0.0487,5,-24.568,Major,0.0323,0.783,0.484,0.284,0.252,64.12,classical
Holy Water,0.475,0.82,5,-5.057,Minor,0.0573,0.00771,0.835,0.211,0.336,140.025,rock
The Longer I Run,0.606,0.531,3,-10.842,Major,0.0281,0.708,0.234,0.0985,0.541,151.908,romance
Peaches And Cream,0.677,0.52,4,-6.255,Minor,0.334,0.00277,0,0.0532,0.776,203.862,party
Ma girl,0.845,0.93,7,-0.614,Major,0.2,0.241,0,0.0971,0.806,109.96,reggae
Cut The Cord,0.447,0.966,7,-2.966,Major,0.089,0.00349,0.000198,0.312,0.542,178.105,rock
Sweet Child O' Mine,0.449,0.901,6,-7.711,Major,0.0526,0.141,0.0675,0.128,0.666,125.148,rock
Party Animal,0.717,0.864,0,-3.928,Major,0.053,0.0208,0,0.222,0.841,101.015,latin
"Les Troyens: Act V, No. 38 - “Vallon Sonore”",0.118,0.0382,7,-24.471,Minor,0.0512,0.962,0.00809,0.114,0.0426,78.237,classical
Golden Dandelions,0.473,0.926,0,-6.002,Minor,0.0929,0.0269,0,0.104,0.379,139.477,indie_alt
Holiday,0.743,0.883,10,-4.097,Minor,0.0657,0.26,0.0000208,0.0558,0.648,99.992,reggae
Winded,0.556,0.0392,4,-19.055,Major,0.0505,0.931,0.00677,0.106,0.0914,125.339,romance
More Than Words,0.615,0.129,6,-14.892,Major,0.0286,0.468,0,0.114,0.269,91.769,rock
Pt. 2,0.67,0.724,11,-4.141,Major,0.361,0.577,0,0.789,0.27,145.105,hiphop
Born in Dissonance,0.264,0.986,11,-5.059,Major,0.102,0.0000041,0.00624,0.0535,0.221,106.161,metal
Someday (Electric),0.581,0.333,0,-14.209,Major,0.032,0.944,0.472,0.332,0.506,94.197,blues
Hot Sauce,0.636,0.447,1,-14.97,Minor,0.063,0.491,0.859,0.119,0.654,170.191,funk
The Hustle - Original Mix,0.627,0.875,0,-10.291,Major,0.0741,0.232,0.475,0.0759,0.859,110.521,funk
Jump,0.749,0.745,2,-10.625,Major,0.164,0.000501,0.00403,0.333,0.461,101.972,hiphop
"Vespers: Herr Christ, der einig Gotts Sohn",0.117,0.215,4,-18.793,Minor,0.047,0.991,0.0312,0.1,0.0343,81.065,classical
I Hate Everything About You,0.498,0.83,6,-5.157,Minor,0.0421,0.00461,0,0.139,0.423,89.342,rock
Create and Annihilate,0.262,0.99,0,-3.835,Major,0.0842,0.00000158,0.906,0.351,0.111,160.041,metal
Act I: Elysium 77,0.475,0.935,5,-5.303,Minor,0.0783,0.00189,0,0.364,0.146,139.944,metal
Only Love,0.56,0.485,8,-9.881,Major,0.119,0.331,0.00101,0.119,0.341,80.493,romance
Lufunki,0.696,0.817,1,-6.731,Major,0.0357,0.000683,0.908,0.0759,0.738,127.987,funk
Following the Voice,0.331,0.96,5,-5.953,Minor,0.121,0.00000121,0.331,0.14,0.0784,118.633,metal
Un Polvo,0.811,0.681,6,-4.715,Minor,0.0712,0.673,0,0.636,0.487,134.062,latin
Frikitona,0.944,0.874,2,-3.814,Minor,0.175,0.316,0,0.374,0.846,120.056,latin
Runnin' Outta Moonlight,0.532,0.801,2,-3.759,Major,0.0393,0.0371,0.00000707,0.0633,0.791,172.05,country
불타오르네 FIRE,0.428,0.708,10,-3.551,Minor,0.168,0.00262,0,0.121,0.554,199.827,party
Imaginalo (feat. Jay Maly & Darian Alvarez),0.825,0.656,8,-8.216,Major,0.0454,0.183,0,0.0505,0.857,125.068,latin
Red Nova,0.343,0.186,0,-16.021,Major,0.0407,0.918,0.822,0.0936,0.281,124.116,classical
"Piano Sonata No. 4 in E-Flat, Op. 7: III. Allegro",0.267,0.0641,3,-27.148,Major,0.0447,0.993,0.905,0.171,0.172,73.05,classical
"Symphony No. 3 in F Major, Op. 90: III. Poco Allegretto",0.0946,0.0111,0,-32.117,Minor,0.0425,0.978,0.869,0.0519,0.0392,164.228,classical
Dazz - Single Version,0.722,0.778,4,-7.931,Major,0.0611,0.0697,0.00000746,0.0414,0.83,109.076,funk
Is This Love,0.775,0.563,6,-8.225,Minor,0.0815,0.119,0,0.155,0.784,122.269,reggae
Sorry,0.669,0.777,8,-4.562,Minor,0.0269,0.00213,0.000055,0.128,0.527,128.004,rock
La Imagen De Dios,0.37,0.542,0,-7.447,Major,0.03,0.0253,0.0000816,0.108,0.117,73.968,latin
Virtue,0.72,0.748,0,-7.497,Major,0.0704,0.363,0.045,0.122,0.261,127.994,indie_alt
Apretaito,0.719,0.76,11,-5.916,Minor,0.0703,0.285,0.000289,0.116,0.679,91.976,latin
Las Balas Lloran,0.654,0.558,0,-10.171,Major,0.149,0.473,0,0.112,0.0686,92.757,latin
Bicycle Ride (Soca Remix),0.895,0.849,1,-3.807,Minor,0.053,0.547,0.0511,0.138,0.83,130.062,reggae
That's All She Wrote (feat. Eminem),0.496,0.785,7,-3.472,Major,0.306,0.0328,0,0.0941,0.341,170.02,hiphop
I'll Find a Way,0.229,0.944,2,-5.444,Minor,0.155,0.000179,0,0.204,0.304,84.173,punk
Kasalefkut-hulu - Stereo Master,0.685,0.302,1,-15.625,Major,0.0383,0.58,0.843,0.0948,0.854,82.761,funk
Indicator - Soca Remix,0.678,0.938,1,-5.455,Minor,0.291,0.184,0,0.0888,0.873,96.358,reggae
Carmelita,0.427,0.427,11,-8.965,Minor,0.0414,0.562,0.000047,0.0966,0.339,129.13,indie_alt
Un Vuelo A La,0.533,0.524,0,-5.329,Major,0.0794,0.663,0,0.303,0.679,174.043,latin
Solo Quise Quererte,0.743,0.598,4,-5.871,Minor,0.0386,0.217,0,0.346,0.714,127.98,latin
Godzilla,0.789,0.538,6,-8.213,Minor,0.0625,0.307,0,0.112,0.75,141.01,hiphop
I'm Done (Feat. S. Carey),0.509,0.339,9,-11.63,Major,0.0376,0.873,0.0000083,0.308,0.343,104.968,indie_alt
"Turandot, Atto III: ""Nessun Dorma""",0.196,0.275,2,-14.796,Major,0.0405,0.97,0.468,0.0908,0.0987,82.348,classical
March Madness,0.406,0.661,8,-5.142,Major,0.311,0.173,0,0.101,0.358,180.206,hiphop
Estar Contigo,0.66,0.486,11,-6.602,Major,0.0314,0.676,0,0.089,0.164,131.732,latin
Magica Nueva,0.899,0.436,1,-12.096,Major,0.221,0.000839,0.707,0.121,0.325,107.983,funk
The One You love (feat. Kate Miller Heidke),0.47,0.455,6,-9.868,Major,0.0382,0.668,0.00000474,0.139,0.348,71.663,romance
Jeremy,0.285,0.846,2,-6.472,Major,0.0438,0.0404,0,0.182,0.276,108.808,rock
Had Ten Dollaz,0.554,0.749,10,-7.365,Major,0.0266,0.00189,0.39,0.124,0.824,168.045,indie_alt
Animal (Fuck Like a Beast),0.211,0.972,10,-3.755,Minor,0.188,0.00323,0.00000731,0.573,0.2,143.75,metal
Stand Tall,0.606,0.679,5,-6.091,Minor,0.0684,0.075,0.00274,0.677,0.964,183.8,blues
Got to Be Real - Single Version,0.802,0.599,5,-11.259,Major,0.0537,0.0585,0.00602,0.0804,0.889,114.651,funk
Don't Give The Devil No Ground,0.662,0.945,8,-4.637,Major,0.048,0.0959,0.000886,0.167,0.868,107.106,blues
"Weber : Der Freischütz : Act 1 ""O, diese Sonne"" [Max Kuno, Kaspar, Chorus]",0.234,0.0778,0,-22.991,Major,0.0451,0.977,0.00442,0.123,0.119,83.561,classical
In natali Domini (a 4),0.269,0.0595,5,-24.728,Major,0.0488,0.99,0,0.135,0.109,117.431,classical
Come As You Are,0.505,0.825,4,-5.721,Minor,0.0401,0.000182,0.000948,0.0855,0.535,119.987,party
"Romeo and Juliet Suite No. 3, Op. 101: Aubade: Morning Serenade (Suite No. 3, Op. 101: V)",0.407,0.00722,4,-38.706,Major,0.0391,0.95,0.0375,0.121,0.157,131.535,classical
Give Me Love,0.802,0.864,1,-6.768,Minor,0.0848,0.277,0.00605,0.0554,0.94,127.11,funk
Quiero Conocerte,0.624,0.861,5,-4.401,Minor,0.0295,0.0114,0.0000711,0.132,0.721,94.995,latin
Come Away With Me,0.363,0.129,0,-14.304,Major,0.0322,0.904,0.00000152,0.157,0.155,80.367,jazz
About You (feat. Maxine),0.652,0.784,1,-4.506,Major,0.0371,0.0958,0.00187,0.283,0.715,122.983,party
Mass: Agnus Dei,0.0849,0.0199,1,-30.645,Major,0.0387,0.989,0.778,0.0528,0.0321,77.163,classical
Hands on the Wheel (feat. Asap Rocky),0.646,0.784,1,-7.471,Minor,0.108,0.0166,0,0.0721,0.177,127.839,hiphop
War,0.372,0.836,1,-4.464,Minor,0.0731,0.000105,0.0591,0.253,0.532,160.153,rock
The Gate,,,,,,,,,,,,indie_alt
Last Goodbye,0.492,0.845,2,-5.686,Major,0.0442,0.0297,0.00121,0.209,0.507,86.988,romance
Footprints,0.402,0.409,5,-13.95,Minor,0.0363,0.128,0.000568,0.0947,0.482,130.681,jazz
"Concerto In G Major TWV 40:201, For 4 Violins Without Basso Continuo: 1. Largo e staccato",0.314,0.00627,6,-24.406,Major,0.047,0.952,0.0671,0.0701,0.33,109.756,classical
"Métopes, Op.29: Wyspa syren/The Isle of Siren (lento, molto rubato e improvisando)",0.246,0.0491,4,-24.478,Major,0.0376,0.99,0.917,0.0911,0.0338,73.809,classical
Angels,0.431,0.59,4,-6.362,Major,0.0284,0.163,0.0000111,0.0981,0.225,150.193,romance
You Make Me Feel Like Dancing - Remastered,0.746,0.677,8,-7.128,Minor,0.0369,0.106,0.00000508,0.123,0.821,95.601,funk
Piano Concerto in C (1773): 2. Larghetto,0.319,0.0238,9,-29.561,Minor,0.0502,0.986,0.864,0.0729,0.118,68.146,classical
Baba Boom Time - Original,0.718,0.479,10,-10.425,Minor,0.115,0.366,0.105,0.138,0.691,153.101,reggae
Dile la Verdad (feat. Luis Vargas),0.823,0.822,9,-3.647,Minor,0.0337,0.574,0.00000127,0.417,0.951,129.995,latin
Howlin' For You,0.708,0.737,11,-6.665,Minor,0.0943,0.0299,0.0804,0.101,0.458,132.612,rock
Dialectic Chaos,0.16,0.982,0,-2.715,Major,0.0761,0.0000028,0.847,0.0996,0.187,83.458,metal
DJ Luian & Mambo Kingz: Song Most Proud of Producing,0.655,0.305,1,-10.82,Minor,0.816,0.889,0,0.23,0.956,135.061,latin
Seven Hours Of Light,0.595,0.098,9,-14.736,Minor,0.122,0.676,0.128,0.142,0.466,174.626,blues
Light Dance,0.288,0.171,2,-14.13,Major,0.0463,0.99,0.736,0.104,0.148,177.923,classical
Amigos y Enemigos - Remix,0.752,0.748,6,-3.755,Major,0.0895,0.289,0,0.105,0.5,115.01,latin
Why,0.669,0.561,11,-4.923,Minor,0.209,0.157,0,0.0739,0.615,180.044,pop
Wild Ones (feat. Sia),0.608,0.86,5,-5.324,Minor,0.0554,0.0991,0,0.262,0.441,127.075,party
Honey,0.467,0.887,0,-5.247,Major,0.0497,0.00178,0,0.189,0.77,167.25,blues
IDFWYN,0.811,0.467,1,-8.662,Minor,0.309,0.69,0,0.325,0.688,86.935,hiphop
As You Are,0.454,0.166,0,-14.753,Minor,0.0362,0.908,0,0.0546,0.226,122.096,jazz
Breaking The Girl,0.348,0.686,8,-12.748,Minor,0.0319,0.0233,0.00256,0.145,0.618,178.466,rock
"Jeux d’eau, M 30",0.24,0.0772,6,-25.605,Minor,0.0475,0.992,0.903,0.111,0.0328,67.19,classical
Casual - Felon Remix,0.801,0.673,0,-6.084,Major,0.0363,0.000351,0.0174,0.202,0.324,123.023,party
Numb,0.523,0.664,9,-5.885,Major,0.0332,0.00211,0,0.229,0.285,110.051,metal
Make You Feel My Love,0.552,0.173,10,-10.576,Major,0.0292,0.907,0.000401,0.105,0.0841,76.97,romance
Marvin Gaye (feat. Meghan Trainor),0.795,0.616,1,-5.281,Minor,0.06,0.417,0,0.349,0.818,110.015,romance
I'm Torn Down,0.341,0.822,5,-10.091,Minor,0.0572,0.0119,0.000642,0.978,0.717,139.598,blues
"Symphony No. 2 in B-Flat Major, Op. 4, B. 12: II. Poco adagio",0.0768,0.0779,10,-25.68,Major,0.0426,0.984,0.877,0.108,0.0361,80.145,romance
Γ. Mosaïque solitaire,0.562,0.595,5,-9.896,Major,0.334,0.37,0.00000696,0.13,0.417,125.172,hiphop
Withered,0.563,0.956,0,-3.744,Major,0.112,0.00531,0.00000232,0.385,0.379,110.038,metal
Your Song,0.554,0.3,3,-12.292,Major,0.0319,0.811,0.00000174,0.101,0.262,128.067,romance
Klanga,0.483,0.737,6,-6.689,Major,0.0326,0.000308,0.357,0.0854,0.149,123.915,romance
Bust Down,0.778,0.433,2,-12.697,Major,0.564,0.754,0,0.0907,0.665,146.015,hiphop
Come Together - Remastered 2015,0.559,0.343,9,-13.072,Minor,0.0424,0.0601,0.138,0.1,0.178,164.53,rock
"Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0.138,0.0636,3,-24.939,Major,0.0487,0.931,0.715,0.0723,0.039,83.685,romance
